date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-09 05:29:26,Apunaha67324455,Macarena_Olona,0,0,0,"Dale a tu cuerpo alegría mujer!",,,,1281098115056054273,https://twitter.com/Apunaha67324455/status/1281098115056054273
2020-07-09 05:29:18,DharRonita,,0,1,2,"this type of dedication is rare, but some peoples made his life horrible... #SCOrderCBIForSSR @PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorldpic.twitter.com/V5QiSqJ468",,@PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorldpic,#SCOrderCBIForSSR,1281098078473187328,https://twitter.com/DharRonita/status/1281098078473187328
2020-07-09 05:29:15,apusdaughter,,0,0,0,"i am cursed with hot friends. why couldn’t y’all be ugly like everyone else. i swear they just look like that to make me look bad",,,,1281098066091794432,https://twitter.com/apusdaughter/status/1281098066091794432
2020-07-09 05:29:13,Tc5yY5ApuFrMx7Y,,0,0,2,"خطر في بالي ... أن الاستقرار النفسي والأسري سببه بعد مشيئة الله الزوجة الصالحة، فإن الرجل قد يضيع ماله و لا يستثمر علمه ولا يحسن عمله بسبب القلق الذي يعيشه في بيته مع أسرته. #الاسره",,,#الاسره,1281098058948894720,https://twitter.com/Tc5yY5ApuFrMx7Y/status/1281098058948894720
2020-07-09 05:29:05,apu_suke,chico_0918,0,0,0,"コルセットあったはずなんだけど使わないうちにどこに行ってしまったかワカンネ でも確かに必要だなぁこれじゃ何もできん",,,,1281098026799345664,https://twitter.com/apu_suke/status/1281098026799345664
2020-07-09 05:29:05,Pug_Apu,LilBabyHos13,0,0,0,"Bullshit. You can live in a bubble all you want. You dont get to restrict my rights because you’re scared of a boogeyman",,,,1281098023184084992,https://twitter.com/Pug_Apu/status/1281098023184084992
2020-07-09 05:28:58,sonaliPakrashi3,,0,3,5,"this type of dedication is rare, but some peoples made his life horrible... #SCOrderCBIForSSR @PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorldpic.twitter.com/9TSqsAL215",,@PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorldpic,#SCOrderCBIForSSR,1281097997812555776,https://twitter.com/sonaliPakrashi3/status/1281097997812555776
2020-07-09 05:28:47,patryn94,onewalleee,0,0,7,"P",,,,1281097949921992705,https://twitter.com/patryn94/status/1281097949921992705
2020-07-09 05:28:20,Simar10274846,,1,28,25,"this type of dedication is rare, but some peoples made his life horrible... #SCOrderCBIForSSR @PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorldpic.twitter.com/abaxnjVsiZ",,@PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorldpic,#SCOrderCBIForSSR,1281097835354689537,https://twitter.com/Simar10274846/status/1281097835354689537
2020-07-09 05:28:19,12345678apu,GuilhermeJisoo,0,0,1,"Sempre é umas 3h40 da madru pora aí",,,,1281097833714761730,https://twitter.com/12345678apu/status/1281097833714761730
2020-07-09 05:28:17,apuwangyyy,,0,0,0,"FCK NA SPOIL NA NAMAN AKO SA HAIKYUU JUSKU CHAPTER 248 PALANG AKO PERO ENDING NA NG NATIONALS YUNG NAKITA KO POTA.",,,,1281097823325282304,https://twitter.com/apuwangyyy/status/1281097823325282304
2020-07-09 05:28:15,Nirbak_Shrota,pooja3000RV,1,0,3,"Hope ki milenge akdin https://twitter.com/pooja3000RV/status/1281092363629166597 …",,,,1281097814408196096,https://twitter.com/Nirbak_Shrota/status/1281097814408196096
2020-07-09 05:28:03,Pooja03045820,,2,2,1,"आपको लगता है कि सुशांत इसको अपना दोस्त बनायेगा????? @vimalku86909004 @lostsoul_apu @BasChillMaar @dna @BBCWorld @BBCIndiapic.twitter.com/11rpFktE67",,@vimalku86909004 @lostsoul_apu @BasChillMaar @dna @BBCWorld @BBCIndiapic,,1281097765880094720,https://twitter.com/Pooja03045820/status/1281097765880094720
